[001] 20260220-18:12:20 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[002] 20260220-18:12:22 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[003] 20260220-18:12:24 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[004] 20260220-18:12:26 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[005] 20260220-18:12:28 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[006] 20260220-18:12:30 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[007] 20260220-18:12:32 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[008] 20260220-18:12:34 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[009] 20260220-18:12:36 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[010] 20260220-18:12:38 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[011] 20260220-18:12:40 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[012] 20260220-18:12:42 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[013] 20260220-18:12:44 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[014] 20260220-18:12:46 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[015] 20260220-18:12:48 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[016] 20260220-18:12:50 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[017] 20260220-18:12:52 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[018] 20260220-18:12:54 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[019] 20260220-18:12:56 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[020] 20260220-18:12:58 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[021] 20260220-18:13:00 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[022] 20260220-18:13:02 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[023] 20260220-18:13:04 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[024] 20260220-18:13:06 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[025] 20260220-18:13:08 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[026] 20260220-18:13:10 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[027] 20260220-18:13:12 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[028] 20260220-18:13:14 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[029] 20260220-18:13:16 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
[030] 20260220-18:13:19 same_or_first youtube.com -> 142.250.68.206, 2607:f8b0:4006:816::200e
Summary: domain=youtube.com repetitions=30 changed_rounds=0
